date_disclosed,country,ifc_country_code,sector,project_name,project_number,company_name,status,risk_management_investment,guarantee_investment,loan_investment,equity_investment,total_investment
2018-06-29T00:00:00Z,India,IND,Manufacturing,Camlin,39750,CAMLIN FINE SCIENCES LIMITED,Active,NA,NA,30,NA,30
2018-06-28T00:00:00Z,Latin America Region,LAC,Funds,Riverwood III,41148,"RIVERWOOD CAPITAL PARTNERS LATAM, L.P.",Active,NA,NA,NA,15,15
2018-06-26T00:00:00Z,Zambia,ZAM,Financial Institutions,Stanbic Bank Zambia SL,38700,Stanbic Bank (Z) Ltd,Active,NA,NA,36.77,NA,36.77
2018-06-22T00:00:00Z,Thailand,THL,Financial Institutions,Roojai,40653,ROOJAI COMPANY LIMITED,Active,NA,NA,0,7,7
2018-06-22T00:00:00Z,China,CHA,Agribusiness and Forestry,Chenguang Bio,40616,CHENGUANG BIOTECH GROUP CO LTD,Active,NA,NA,40,NA,40
2018-06-20T00:00:00Z,Argentina,ARG,other,Santa Fe Infra,40418,GOVERNMENT OF SANTA FE,Hold,NA,NA,NA,NA,NA
2018-06-19T00:00:00Z,Kenya,KEN,Agribusiness and Forestry,Twiga Foods,41195,Twiga Foods Limited,Active,NA,NA,0,1.5,1.5
2018-06-13T00:00:00Z,Turkey,TUR,Financial Institutions,Garanti Bank DCM Gender Bond,40886,TURKIYE GARANTI BANKASI AS,Active,NA,NA,75,NA,75
2018-06-06T00:00:00Z,Turkey,TUR,Manufacturing,Asas Turkey,38990,ASAS ALUMINYUM SANAYI VE TICARET ANONIM SIRKETI,Pending Approval,NA,NA,NA,NA,NA
2018-06-05T00:00:00Z,China,CHA,Health and Education,China YuHua Education Corporation Limited,40811,CHINA YUHUA EDUCATION CORPORATION LIMITED,Active,NA,NA,75,NA,75
2018-06-05T00:00:00Z,South Africa,SOU,Agribusiness and Forestry,Mbiza Blueberries,40468,UNITED EXPORTS LIMITED,Active,NA,NA,11.58,NA,11.58
2018-06-05T00:00:00Z,Thailand,THL,Financial Institutions,DCM TMB SMEGreen,41118,TMB BANK PUBLIC COMPANY LIMITED,Active,NA,NA,150,NA,150
2018-06-05T00:00:00Z,Nepal,NEP,Financial Institutions,WCS2 GIME Bank,41537,GLOBAL IME BANK LIMITED.,Active,NA,NA,20,NA,20
2018-06-03T00:00:00Z,"Egypt, Arab Republic of",EGT,other,ESIP Vezeeta,40783,DR BRIDGE LLC,Active,NA,NA,NA,1,1
2018-06-01T00:00:00Z,World Region,WLD,Funds,Apis Growth Fund II,41264,APIS PARTNERS LLP,Active,NA,NA,0,25,25
2018-05-31T00:00:00Z,India,IND,Infrastructure,Azure RG,40099,AZURE POWER ROOFTOP (GENCO.) PRIVATE LIMITED,Active,NA,NA,45,NA,45
2018-05-31T00:00:00Z,China,CHA,Infrastructure,Canvest Corporate Loan,40570,CANVEST ENVIRONMENTAL PROTECTION GROUP COMPANY LIMITED,Active,NA,NA,50,NA,50
2018-05-30T00:00:00Z,China,CHA,Funds,Genesis Fund II,41372,"GENESIS CAPITAL II, L.P.",Active,NA,NA,NA,20,20
2018-05-30T00:00:00Z,Zambia,ZAM,other,Twin Palms Mall,39410,TWIN PALM SHOPPING MALL LIMITED,Active,NA,NA,12.8,NA,12.8
2018-05-29T00:00:00Z,India,IND,Manufacturing,Time Technoplast,40768,TIME TECHNOPLAST LIMITED,Active,NA,NA,38.53,NA,38.53
2018-05-24T00:00:00Z,Pakistan,PAK,Manufacturing,Engro Polymer Phase 3,41160,ENGRO POLYMER & CHEMICALS LIMITED,Pending Approval,NA,NA,35,NA,35
2018-05-24T00:00:00Z,Haiti,HAI,Financial Institutions,BUH Haiti,39665,BANQUE DE L'UNION HAITIENNE S.A.,Hold,NA,NA,5,NA,5
2018-05-17T00:00:00Z,Sri Lanka,SRI,Infrastructure,Fairway WtE,40216,FAIRWAY WASTE MANAGEMENT (PVT) LTD,Pending Approval,NA,NA,7,NA,7
2018-05-17T00:00:00Z,Bangladesh,BAN,"Tourism, Retail, and Property",Ananta Mixed Use,39231,ANANTA HOTELS AND RESORTS LIMITED,Pending Approval,NA,NA,NA,NA,NA
2018-05-16T00:00:00Z,Sri Lanka,SRI,Financial Institutions,NDB Agri Loan,41285,NATIONAL DEVELOPMENT BANK PLC,Active,NA,NA,NA,NA,NA
2018-05-16T00:00:00Z,Ecuador,ECU,Financial Institutions,Produbanco Loan,40592,Banco de la Produccion S.A.,Active,NA,NA,80,NA,80
2018-05-16T00:00:00Z,Cote d'Ivoire,IVC,Financial Institutions,DCM ABI Bond,40243,ATLANTIC BUSINESS INTERNATIONAL,Pending Approval,NA,NA,116.79,NA,116.79
