"mu","phi","sigma"
0.01052739,0.419981274,0.008097206
0.01851152,0.350929134,0.005311644
0.02200119,0.819741665,0.006920341
0.01133931,0.530357818,0.007510599
0.01436923,0.14911061,0.008245539
0.01754787,0.367515839,0.005999411
0.0008988097,0.968727641,0.010065898
0.009268161,0.787736809,0.011005817
0.01106946,0.711407438,0.006399966
0.0009023607,0.943549222,0.006608925
0.002389917,0.963416658,0.009540972
0.008616128,0.918855723,0.005700688
0.0119655,0.475834121,0.007776601
0.01609889,0.573819739,0.005009019
0.004305338,0.801617793,0.007587685
0.01745676,0.050862504,0.006447805
0.01184888,0.828075559,0.006662895
0.001868787,0.816754971,0.004902688
0.01162098,0.744203144,0.008637988
0.004849022,0.934718122,0.006683514
0.01541163,0.169879193,0.006266134
0.01366318,0.356550631,0.005372155
0.01683143,0.838843826,0.006272505
0.019125,0.77240585,0.007655086
0.0107726,0.74739056,0.0072271
0.003743,0.783439026,0.007424926
0.01346837,0.666073592,0.00667301
0.02034164,0.516209266,0.004692267
0.004158281,0.902517254,0.012481253
0.009663827,0.530648728,0.006932024
0.02093255,0.691191812,0.005182332
0.003412712,0.762483656,0.007305785
0.01133012,0.828891984,0.006300016
0.01015845,0.698511929,0.007153768
0.009442897,0.918804042,0.00855946
0.001166878,0.963911391,0.007919662
0.00804859,0.317845132,0.008961686
0.008150179,0.728772861,0.005988732
0.01225026,0.412881645,0.007704175
0.01749858,0.219579807,0.006147065
0.005407935,0.930432565,0.008244624
0.008747893,0.96972787,0.007166498
0.01608908,0.192950572,0.005400109
0.01553353,0.147393868,0.005622854
0.01255514,0.311086436,0.007177995
0.0180925,0.88442412,0.008472588
0.01401911,0.738600126,0.006390078
0.01349802,0.967385116,0.005796009
0.009528286,0.998256775,0.006367114
0.01417864,0.486282488,0.00837197
0.01095079,0.93376478,0.007492796
0.01943265,0.799878456,0.006030434
0.01493458,0.469601552,0.00482338
0.01154586,0.507817144,0.006790864
0.01294856,0.514104509,0.006510825
0.01241777,0.995782487,0.008165185
0.01160811,0.640385406,0.007227454
0.01360738,0.288617412,0.005648746
0.0161004,0.417148033,0.005598847
0.005014946,0.98555748,0.005501549
0.01648935,0.32614277,0.005443616
0.007866039,0.971251051,0.005886206
0.01294637,0.681972023,0.006364636
0.001617338,0.768560267,0.006891009
0.0007169232,0.85773393,0.007344849
0.02425707,0.948068591,0.007090205
0.01925491,0.605701549,0.005722054
0.004010442,0.933952114,0.006214535
0.01445145,0.316139588,0.008617821
0.007825751,0.941425164,0.006226726
0.01557834,0.834895612,0.005404354
0.001004726,0.832471817,0.005239106
0.003169205,0.891303722,0.006577657
0.0068943,0.772592146,0.007647911
0.01459948,0.732678695,0.004585375
0.0164251,0.140292349,0.005637303
0.01126271,0.814396483,0.006646425
0.01162569,0.750624175,0.007747426
0.01820001,0.22495949,0.007376366
0.01668522,0.488351402,0.006148019
0.003124473,0.905182249,0.005593272
0.01683278,0.289056896,0.00645764
0.01372202,0.165196105,0.006876655
0.01197478,0.761182783,0.008413452
0.02124032,0.940273459,0.005814938
0.009240143,0.986522371,0.00700568
0.01896772,0.410733456,0.007370533
0.01672295,0.651807104,0.007669654
0.002065418,0.893029312,0.008134335
0.01563338,0.498067241,0.008305908
