LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,CurrentJobTitleSelect,MLMethodNextYearSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkInternalVsExternalTools,FormalEducation,Age,DataScienceIdentitySelect,JobSatisfaction
NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,NA,NA,DBA/Database Engineer,Random Forests,Rarely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,Most of the time,NA,NA,NA,NA,Do not know,Bachelor's degree,NA,Yes,5
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Random Forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,30,Yes,NA
Very useful,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,28,Yes,NA
NA,Very useful,Very useful,NA,Very useful,Very useful,NA,NA,NA,Very useful,Very useful,Very useful,NA,NA,NA,NA,NA,NA,Operations Research Practitioner,Neural Nets,Often,Often,Often,Often,Often,Often,NA,Often,Often,Often,Most of the time,Often,Often,Often,NA,Often,Often,Often,Often,Often,Often,NA,Entirely internal,Master's degree,56,Yes,10 - Highly Satisfied
Very useful,NA,NA,NA,Somewhat useful,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Computer Scientist,Text Mining,Often,Sometimes,NA,NA,NA,NA,NA,NA,Sometimes,Sometimes,Sometimes,NA,NA,NA,Sometimes,NA,Most of the time,NA,Sometimes,NA,NA,NA,Approximately half internal and half external,Doctoral degree,38,No,2
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,Very useful,NA,NA,NA,Data Scientist,Genetic & Evolutionary Algorithms,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Doctoral degree,46,NA,8
Somewhat useful,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,NA,NA,NA,Computer Scientist,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,35,No,8
NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,Very useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,22,No,NA
NA,Very useful,NA,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Business Analyst,Link Analysis,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,43,No,7
Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,NA,Somewhat useful,NA,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,NA,NA,Somewhat useful,Software Developer/Software Engineer,Deep learning,NA,Sometimes,NA,NA,Often,Often,NA,NA,Often,NA,Sometimes,NA,Rarely,NA,NA,Sometimes,Rarely,Rarely,NA,NA,NA,NA,Do not know,Bachelor's degree,33,Sort of (Explain more),7
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,20,No,NA
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Very useful,NA,NA,Very useful,NA,NA,NA,NA,NA,Somewhat useful,Data Scientist,Deep learning,NA,NA,NA,NA,NA,Often,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,27,NA,7
NA,NA,Somewhat useful,NA,Somewhat useful,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Somewhat useful,Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,26,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA
NA,Very useful,NA,NA,Very useful,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,Software Developer/Software Engineer,Deep learning,Often,NA,NA,NA,NA,Often,NA,NA,Often,Often,NA,Often,NA,NA,NA,Often,NA,NA,Often,NA,NA,NA,Do not know,Master's degree,26,No,5
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Somewhat useful,Somewhat useful,Very useful,NA,Very useful,NA,NA,DBA/Database Engineer,Rule Induction,Rarely,Sometimes,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,Sometimes,NA,Do not know,Master's degree,58,Yes,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,26,Sort of (Explain more),NA
NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Very useful,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,39,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Very useful,NA,NA,NA,NA,NA,Scientist/Researcher,Proprietary Algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,49,Yes,NA
Somewhat useful,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,NA,Very useful,NA,Researcher,Deep learning,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,More internal than external,Bachelor's degree,25,Yes,6
