state,state_abbrev,population,census_region,census_division
Alabama,AL,4903185,south,East South Central
Alaska,AK,731545,pacific,Pacific
Arizona,AZ,7278717,west,Mountain
Arkansas,AR,3017804,south,West South Central
California,CA,39512223,west,Pacific
Colorado,CO,5758736,west,Mountain
Connecticut,CT,3565287,northeast,New England
Delaware,DE,973764,south,South Atlantic
District of Columbia,DC,705749,south,South Atlantic
Florida,FL,21477737,south,South Atlantic
Georgia,GA,10617423,south,South Atlantic
Hawaii,HI,1415872,pacific,Pacific
Idaho,ID,1787065,west,Mountain
Illinois,IL,12671821,midwest,East North Central
Indiana,IN,6732219,midwest,East North Central
Iowa,IA,3155070,midwest,West North Central
Kansas,KS,2913314,midwest,West North Central
Kentucky,KY,4467673,south,East South Central
Louisiana,LA,4648794,south,West South Central
Maine,ME,1344212,northeast,New England
Maryland,MD,6045680,south,South Atlantic
Massachusetts,MA,6892503,northeast,New England
Michigan,MI,9986857,midwest,East North Central
Minnesota,MN,5639632,midwest,West North Central
Mississippi,MS,2976149,south,East South Central
Missouri,MO,6137428,midwest,West North Central
Montana,MT,1068778,west,Mountain
Nebraska,NE,1934408,midwest,West North Central
Nevada,NV,3080156,west,Mountain
New Hampshire,NH,1359711,northeast,New England
New Jersey,NJ,8882190,northeast,Middle Atlantic
New Mexico,NM,2096829,west,Mountain
New York,NY,19453561,northeast,Middle Atlantic
North Carolina,NC,10488084,south,South Atlantic
North Dakota,ND,762062,midwest,West North Central
Ohio,OH,11689100,midwest,East North Central
Oklahoma,OK,3956971,south,West South Central
Oregon,OR,4217737,west,Pacific
Pennsylvania,PA,12801989,northeast,Middle Atlantic
Rhode Island,RI,1059361,northeast,New England
South Carolina,SC,5148714,south,South Atlantic
South Dakota,SD,884659,midwest,West North Central
Tennessee,TN,6829174,south,East South Central
Texas,TX,28995881,south,West South Central
Utah,UT,3205958,west,Mountain
Vermont,VT,623989,northeast,New England
Virginia,VA,8535519,south,South Atlantic
Washington,WA,7614893,west,Pacific
West Virginia,WV,1792147,south,South Atlantic
Wisconsin,WI,5822434,midwest,East North Central
Wyoming,WY,578759,west,Mountain
