state,region,population,cases,tests,deaths,CasesPerM,DeathsPerM,TestsPerM
NY,northeast,19453561,37258,122104,385,1915.2,19.8,6277
NJ,northeast,8882190,6876,20537,81,774.1,9.1,2312
LA,south,4648794,2305,18029,83,495.8,17.9,3878
WA,west,7614893,3207,46380,147,421.1,19.3,6091
DC,south,705749,267,2164,3,378.3,4.3,3066
MA,northeast,6892503,2417,23621,25,350.7,3.6,3427
MI,midwest,9986857,2856,9406,60,286,6,942
CT,northeast,3565287,1012,6500,21,283.8,5.9,1823
VT,northeast,623989,158,2008,9,253.2,14.4,3218
CO,west,5758736,1430,10122,24,248.3,4.2,1758
IL,midwest,12671821,2538,16631,26,200.3,2.1,1312
NV,west,3080156,535,6696,10,173.7,3.2,2174
MS,south,2976149,485,2776,6,163,2,933
RI,northeast,1059361,165,1531,NA,155.8,NA,1445
GA,south,10617423,1643,8948,56,154.7,5.3,843
DE,south,973764,143,179,2,146.9,2.1,184
TN,south,6829174,957,14909,3,140.1,0.4,2183
PA,northeast,12801989,1687,18128,16,131.8,1.2,1416
UT,west,3205958,402,7710,1,125.4,0.3,2405
WI,midwest,5822434,707,12290,8,121.4,1.4,2111
AR,south,3017804,351,1884,3,116.3,1,624
NH,northeast,1359711,158,3553,1,116.2,0.7,2613
ME,northeast,1344212,155,3549,NA,115.3,NA,2640
FL,south,21477737,2359,26912,29,109.8,1.4,1253
AL,south,4903185,538,4131,3,109.7,0.6,843
ID,west,1787065,189,2857,3,105.8,1.7,1599
MT,west,1068778,108,2698,NA,101,NA,2524
WY,west,578759,56,1105,0,96.8,0,1909
MD,south,6045680,580,674,4,95.9,0.7,111
IN,midwest,6732219,645,4651,17,95.8,2.5,691
AK,pacific,731545,69,2388,1,94.3,1.4,3264
SC,south,5148714,456,2763,9,88.6,1.7,537
MO,midwest,6137428,502,871,8,81.8,1.3,142
AZ,west,7278717,577,924,8,79.3,1.1,127
CA,west,39512223,3006,20386,65,76.1,1.6,516
ND,midwest,762062,58,2261,0,76.1,0,2967
HI,pacific,1415872,106,4463,NA,74.9,NA,3152
OR,west,4217737,316,7269,11,74.9,2.6,1723
OH,midwest,11689100,867,17316,15,74.2,1.3,1481
NM,west,2096829,136,8513,1,64.9,0.5,4060
OK,south,3956971,248,1206,7,62.7,1.8,305
MN,midwest,5639632,346,12950,2,61.4,0.4,2296
NC,south,10488084,636,12910,2,60.6,0.2,1231
KS,midwest,2913314,168,3037,3,57.7,1,1042
IA,midwest,3155070,179,2757,1,56.7,0.3,874
KY,south,4467673,248,4016,5,55.5,1.1,899
VA,south,8535519,460,6189,13,53.9,1.5,725
SD,midwest,884659,46,2019,1,52,1.1,2282
TX,south,28995881,1396,21424,18,48.1,0.6,739
WV,south,1792147,76,1855,0,42.4,0,1035
NE,midwest,1934408,73,1657,0,37.7,0,857
