county,state,pop_2010,pop_2018,pct_chg
McKenzie,North Dakota,6411,13632,112.63
Williams,North Dakota,22588,35350,56.5
Hays,Texas,158212,222631,40.72
Wasatch,Utah,23644,33240,40.59
Trousdale,Tennessee,7874,11012,39.85
Hudspeth,Texas,3472,4795,38.1
Sumter,Florida,94278,128754,36.57
Osceola,Florida,269841,367990,36.37
Comal,Texas,109270,148373,35.79
Kendall,Texas,33616,45641,35.77
Dallas,Iowa,66748,90180,35.11
Forsyth,Georgia,176750,236612,33.87
Fort Bend,Texas,590260,787858,33.48
St. Johns,Florida,191243,254261,32.95
Williamson,Texas,426284,566719,32.94
Mountrail,North Dakota,7705,10218,32.62
Long,Georgia,14559,18998,30.49
Lincoln,South Dakota,45187,58807,30.14
Walton,Florida,55211,71375,29.28
Loudoun,Virginia,315479,406850,28.96
Denton,Texas,666768,859064,28.84
Montgomery,Texas,459210,590925,28.68
Rockwall,Texas,78907,100657,27.56
Collin,Texas,788431,1005146,27.49
Horry,South Carolina,270257,344147,27.34
Stark,North Dakota,24360,30997,27.25
St. Bernard Parish,Louisiana,36824,46721,26.88
Brunswick,North Carolina,108065,136744,26.54
Morgan,Utah,9522,12045,26.5
Midland,Texas,136985,172578,25.98
Williamson,Tennessee,184128,231729,25.85
Bryan,Georgia,30378,38109,25.45
Gallatin,Montana,89651,111876,24.79
Canadian,Oklahoma,116341,144447,24.16
Washington,Utah,138392,171700,24.07
Lancaster,South Carolina,76972,95380,23.92
Kaufman,Texas,103890,128622,23.81
Weld,Colorado,254198,314305,23.65
Columbia,Georgia,124977,154291,23.46
Guadalupe,Texas,132596,163694,23.45
Berkeley,South Carolina,179420,221091,23.23
Broomfield,Colorado,56221,69267,23.2
Rutherford,Tennessee,263702,324890,23.2
Wilson,Tennessee,114685,140625,22.62
Dunn,North Dakota,3536,4332,22.51
Benton,Arkansas,222592,272608,22.47
Manatee,Florida,323427,394855,22.08
Andrews,Texas,14849,18128,22.08
Waller,Texas,43524,53126,22.06
Deschutes,Oregon,157743,191996,21.71
Lee,Florida,620454,754610,21.62
Travis,Texas,1030539,1248743,21.17
York,South Carolina,226865,274118,20.83
Cass,North Dakota,150305,181516,20.77
New Kent,Virginia,18543,22391,20.75
Wake,North Carolina,906882,1092305,20.45
Orange,Florida,1148593,1380645,20.2
Matanuska-Susitna Borough,Alaska,89735,107610,19.92
Manassas Park city,Virginia,14447,17307,19.8
Chambers,Texas,35446,42454,19.77
Lake,Florida,297708,356495,19.75
Fredericksburg city,Virginia,24354,29144,19.67
Utah,Utah,519994,622213,19.66
Martin,Texas,4809,5753,19.63
Tooele,Utah,58501,69907,19.5
Ada,Idaho,393350,469966,19.48
Douglas,Colorado,286977,342776,19.44
Johnston,North Carolina,169681,202675,19.44
Hamilton,Indiana,276509,330086,19.38
Ellis,Texas,150371,179436,19.33
Franklin,Washington,79083,94347,19.3
Oconee,Georgia,32927,39272,19.27
Baldwin,Alabama,183111,218022,19.07
Montgomery,Tennessee,173158,205950,18.94
Gaines,Texas,17589,20901,18.83
Falls Church city,Virginia,12434,14772,18.8
Denver,Colorado,603354,716492,18.75
Pender,North Carolina,52416,62162,18.59
Effingham,Georgia,52465,62190,18.54
Scott,Kentucky,47280,56031,18.51
Mecklenburg,North Carolina,923258,1093901,18.48
Cabarrus,North Carolina,178535,211342,18.38
Ector,Texas,137083,162124,18.27
Cherokee,Georgia,215191,254149,18.1
Hood,Texas,51268,60537,18.08
Canyon,Idaho,189353,223499,18.03
Parker,Texas,117325,138371,17.94
Pinal,Arizona,379547,447138,17.81
Brazoria,Texas,314447,370200,17.73
Boone,Indiana,56914,66999,17.72
Polk,Florida,603128,708009,17.39
Collier,Florida,322595,378488,17.33
Santa Rosa,Florida,152908,179349,17.29
Dorchester,South Carolina,137057,160647,17.21
Delaware,Ohio,175098,204826,16.98
Bastrop,Texas,74362,86976,16.96
Nassau,Florida,73513,85832,16.76
Durham,North Carolina,271354,316739,16.73
Union,North Carolina,202110,235908,16.72
Larimer,Colorado,300450,350518,16.66
Wilson,Texas,43057,50224,16.65
Flagler,Florida,96077,112067,16.64
Burleigh,North Dakota,81701,95273,16.61
Hillsborough,Florida,1233491,1436888,16.49
Lee,Alabama,140806,163941,16.43
Kootenai,Idaho,138852,161505,16.31
Maury,Tennessee,81171,94340,16.22
Jasper,South Carolina,24931,28971,16.2
Washington,Arkansas,204019,236961,16.15
District of Columbia,District of Columbia,605085,702455,16.09
Sumner,Tennessee,161211,187149,16.09
Jackson,Georgia,60695,70422,16.03
Barrow,Georgia,69677,80809,15.98
Harnett,North Carolina,115742,134214,15.96
Pasco,Florida,465486,539630,15.93
Beaufort,South Carolina,162846,188715,15.89
Brazos,Texas,195663,226758,15.89
Sussex,Delaware,197890,229286,15.87
Lake,South Dakota,11279,13057,15.76
Charlotte,Florida,159867,184998,15.72
Custer,Colorado,4283,4954,15.67
Charleston,South Carolina,350963,405905,15.65
Limestone,Alabama,83173,96174,15.63
Wise,Texas,59101,68305,15.57
Ascension Parish,Louisiana,107886,124672,15.56
Kittitas,Washington,40989,47364,15.55
Galveston,Texas,292476,337890,15.53
Stafford,Virginia,129835,149960,15.5
Sarpy,Nebraska,159721,184459,15.49
St. Lucie,Florida,278270,321128,15.4
Adams,Colorado,443698,511868,15.36
Maricopa,Arizona,3825191,4410824,15.31
Hoke,North Carolina,47496,54764,15.3
Sterling,Texas,1137,1311,15.3
Bexar,Texas,1722855,1986049,15.28
Prince William,Virginia,406171,468011,15.23
King,Washington,1938375,2233163,15.21
Lafayette,Mississippi,47567,54793,15.19
Johnson,Iowa,131339,151260,15.17
McClain,Oklahoma,34736,39985,15.11
Summit,Utah,36500,41933,14.88
Paulding,Georgia,142817,164044,14.86
Gwinnett,Georgia,808049,927781,14.82
Warren,Kentucky,114325,131264,14.82
Frio,Texas,17258,19816,14.82
Platte,Missouri,89700,102985,14.81
Shelby,Kentucky,42267,48518,14.79
Tarrant,Texas,1817507,2084931,14.71
Okaloosa,Florida,180715,207269,14.69
Teton,Idaho,10151,11640,14.67
Chatham,North Carolina,63840,73139,14.57
Bledsoe,Tennessee,12884,14755,14.52
Hendricks,Indiana,145912,167009,14.46
Benton,Washington,176465,201877,14.4
