Province,Country,Lat,Long
,Thailand,15,101
,Japan,36,138
,Singapore,1.2833,103.8333
,Nepal,28.1667,84.25
,Malaysia,2.5,112.5
British Columbia,Canada,49.2827,-123.1207
New South Wales,Australia,-33.8688,151.2093
Victoria,Australia,-37.8136,144.9631
Queensland,Australia,-28.0167,153.4
,Cambodia,11.55,104.9167
,Sri Lanka,7,81
,Germany,51,9
,Finland,64,26
,United Arab Emirates,24,54
,Philippines,13,122
,India,21,78
,Italy,43,12
,Sweden,63,16
,Spain,40,-4
South Australia,Australia,-34.9285,138.6007
,Belgium,50.8333,4
,Egypt,26,30
From Diamond Princess,Australia,35.4437,139.638
,Lebanon,33.8547,35.8623
,Iraq,33,44
,Oman,21,57
,Afghanistan,33,65
,Bahrain,26.0275,50.55
,Kuwait,29.5,47.75
,Algeria,28.0339,1.6596
,Croatia,45.1,15.2
,Switzerland,46.8182,8.2275
,Austria,47.5162,14.5501
,Israel,31,35
,Pakistan,30.3753,69.3451
,Brazil,-14.235,-51.9253
,Georgia,42.3154,43.3569
,Greece,39.0742,21.8243
,North Macedonia,41.6086,21.7453
,Norway,60.472,8.4689
,Romania,45.9432,24.9668
,Estonia,58.5953,25.0136
,San Marino,43.9424,12.4578
,Belarus,53.7098,27.9534
,Iceland,64.9631,-19.0208
,Lithuania,55.1694,23.8813
,Mexico,23.6345,-102.5528
,New Zealand,-40.9006,174.886
,Nigeria,9.082,8.6753
Western Australia,Australia,-31.9505,115.8605
,Ireland,53.1424,-7.6921
,Luxembourg,49.8153,6.1296
,Monaco,43.7333,7.4167
,Qatar,25.3548,51.1839
,Ecuador,-1.8312,-78.1834
,Azerbaijan,40.1431,47.5769
,Armenia,40.0691,45.0382
,Dominican Republic,18.7357,-70.1627
,Indonesia,-0.7893,113.9213
,Portugal,39.3999,-8.2245
,Andorra,42.5063,1.5218
Tasmania,Australia,-41.4545,145.9707
,Latvia,56.8796,24.6032
,Morocco,31.7917,-7.0926
,Saudi Arabia,24,45
,Senegal,14.4974,-14.4524
,Argentina,-38.4161,-63.6167
,Chile,-35.6751,-71.543
,Jordan,31.24,36.51
,Ukraine,48.3794,31.1656
,Hungary,47.1625,19.5033
Northern Territory,Australia,-12.4634,130.8456
,Liechtenstein,47.14,9.55
,Poland,51.9194,19.1451
,Tunisia,34,9
,Bosnia and Herzegovina,43.9159,17.6791
,Slovenia,46.1512,14.9955
,South Africa,-30.5595,22.9375
,Bhutan,27.5142,90.4336
,Cameroon,3.8480000000000003,11.5021
,Colombia,4.5709,-74.2973
,Costa Rica,9.7489,-83.7534
,Peru,-9.19,-75.0152
,Serbia,44.0165,21.0059
,Slovakia,48.669,19.699
,Togo,8.6195,0.8248
,Malta,35.9375,14.3754
,Martinique,14.6415,-61.0242
,Bulgaria,42.7339,25.4858
,Maldives,3.2028,73.2207
,Bangladesh,23.685,90.3563
,Paraguay,-23.4425,-58.4438
Ontario,Canada,51.2538,-85.3232
Alberta,Canada,53.9333,-116.5765
Quebec,Canada,52.9399,-73.5491
,Albania,41.1533,20.1683
,Cyprus,35.1264,33.4299
,Brunei,4.5353,114.7277
Washington,US,47.4009,-121.4905
New York,US,42.1657,-74.9481
California,US,36.1162,-119.6816
Massachusetts,US,42.2302,-71.5301
Diamond Princess,US,35.4437,139.638
Grand Princess,US,37.6489,-122.6655
Georgia,US,33.0406,-83.6431
Colorado,US,39.0598,-105.3111
Florida,US,27.7663,-81.6868
New Jersey,US,40.2989,-74.521
Oregon,US,44.571999999999996,-122.0709
Texas,US,31.0545,-97.5635
Illinois,US,40.3495,-88.9861
Pennsylvania,US,40.5908,-77.2098
Iowa,US,42.0115,-93.2105
Maryland,US,39.0639,-76.8021
North Carolina,US,35.6301,-79.8064
South Carolina,US,33.8569,-80.945
Tennessee,US,35.7478,-86.6923
Virginia,US,37.7693,-78.17
Arizona,US,33.7298,-111.4312
Indiana,US,39.8494,-86.2583
Kentucky,US,37.6681,-84.6701
District of Columbia,US,38.8974,-77.0268
Nevada,US,38.3135,-117.0554
New Hampshire,US,43.4525,-71.5639
Minnesota,US,45.6945,-93.9002
Nebraska,US,41.1254,-98.2681
Ohio,US,40.3888,-82.7649
Rhode Island,US,41.6809,-71.5118
Wisconsin,US,44.2685,-89.6165
Connecticut,US,41.5978,-72.7554
Hawaii,US,21.0943,-157.4983
Oklahoma,US,35.5653,-96.9289
Utah,US,40.15,-111.8624
,Burkina Faso,12.2383,-1.5616
,Holy See,41.9029,12.4534
,Mongolia,46.8625,103.8467
,Panama,8.538,-80.7821
Kansas,US,38.5266,-96.7265
Louisiana,US,31.1695,-91.8678
Missouri,US,38.4561,-92.2884
Vermont,US,44.0459,-72.7107
Alaska,US,61.3707,-152.4044
Arkansas,US,34.9697,-92.3731
Delaware,US,39.3185,-75.5071
Idaho,US,44.2405,-114.4788
Maine,US,44.6939,-69.3819
Michigan,US,43.3266,-84.5361
Mississippi,US,32.7416,-89.6787
Montana,US,46.9219,-110.4544
New Mexico,US,34.8405,-106.2485
North Dakota,US,47.5289,-99.78399999999999
South Dakota,US,44.2998,-99.4388
West Virginia,US,38.4912,-80.9545
Wyoming,US,42.756,-107.3025
Hubei,China,30.9756,112.2707
,Iran,32,53
,"Korea, South",36,128
France,France,46.2276,2.2137
Guangdong,China,23.3417,113.4244
Henan,China,33.882,113.61399999999999
Zhejiang,China,29.1832,120.0934
Hunan,China,27.6104,111.7088
Anhui,China,31.8257,117.2264
Jiangxi,China,27.614,115.7221
Shandong,China,36.3427,118.1498
Diamond Princess,Cruise Ship,35.4437,139.638
Jiangsu,China,32.9711,119.455
Chongqing,China,30.0572,107.874
Sichuan,China,30.6171,102.7103
Heilongjiang,China,47.861999999999995,127.7615
Denmark,Denmark,56.2639,9.5018
Beijing,China,40.1824,116.4142
Shanghai,China,31.201999999999998,121.4491
Hebei,China,39.549,116.1306
Fujian,China,26.0789,117.9874
Guangxi,China,23.8298,108.7881
Shaanxi,China,35.1917,108.8701
Yunnan,China,24.974,101.48700000000001
Hainan,China,19.1959,109.7453
Guizhou,China,26.8154,106.8748
Tianjin,China,39.3054,117.323
Shanxi,China,37.5777,112.2922
Gansu,China,37.8099,101.0583
Hong Kong,China,22.3,114.2
Liaoning,China,41.2956,122.6085
Jilin,China,43.6661,126.1923
,Czechia,49.8175,15.472999999999999
Xinjiang,China,41.1129,85.2401
Inner Mongolia,China,44.0935,113.9448
Ningxia,China,37.2692,106.1655
,Taiwan*,23.7,121
,Vietnam,16,108
,Russia,60,90
Qinghai,China,35.7452,95.9956
Macau,China,22.1667,113.55
,Moldova,47.4116,28.3699
,Bolivia,-16.2902,-63.5887
Faroe Islands,Denmark,61.8926,-6.9118
St Martin,France,18.0708,-63.0501
,Honduras,15.2,-86.2419
Channel Islands,United Kingdom,49.3723,-2.3644
New Brunswick,Canada,46.5653,-66.4619
Tibet,China,31.6927,88.0924
,Congo (Kinshasa),-4.0383,21.7587
,Cote d'Ivoire,7.54,-5.5471
Saint Barthelemy,France,17.9,-62.8333
,Jamaica,18.1096,-77.2975
,Turkey,38.9637,35.2433
